source_path,repo_path,size_bytes,type,sha256,include_exclude,reason,sanitize_status
<PROJECT_ROOT>/boatrace/research/gate0_unresolved_reduction_v1/gate0_unresolved_reduction_validation_v1.json,boatrace/research/gate0_unresolved_reduction_v1/gate0_unresolved_reduction_validation_v1.json,8005,json,5386f73b999f3bde10e4deef06ef0cc597613786c3003cdc1d935edcba1bace7,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate0_unresolved_reduction_v1/meeting_policy_patch_proposal_v1.json,boatrace/research/gate0_unresolved_reduction_v1/meeting_policy_patch_proposal_v1.json,811,json,8a3b3520d1bc04069c84a6640e46f8660e801ee29c9872011ddf12c392182aec,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate0_unresolved_reduction_v1/meeting_resolution_summary_v1.json,boatrace/research/gate0_unresolved_reduction_v1/meeting_resolution_summary_v1.json,2014,json,58e2cac10e0adbb350cf116f7df6953475826a16c5d4204ca5d463cff8b2c30e,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate0_unresolved_reduction_v1/meeting_unresolved_resolution_v1.csv,boatrace/research/gate0_unresolved_reduction_v1/meeting_unresolved_resolution_v1.csv,896941,csv,dbbe5246fb310a7fbaaff254ddcb654b7dfade9747851a7528fc1b079a84427e,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate0_unresolved_reduction_v1/official_evidence_acquisition_plan_v1.md,boatrace/research/gate0_unresolved_reduction_v1/official_evidence_acquisition_plan_v1.md,1022,md,4e8930c8f0d09c846eee0691eee5849960bfbe1e868f0666cefcc02c93a5f93e,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate0_unresolved_reduction_v1/race_stage_taxonomy_patch_proposal_v1.csv,boatrace/research/gate0_unresolved_reduction_v1/race_stage_taxonomy_patch_proposal_v1.csv,17145,csv,aa803c48611171d913aa396e487c2ad33b4c24db1f2d5125b305682338db2408,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate0_unresolved_reduction_v1/readiness_patch_proposal_v1.json,boatrace/research/gate0_unresolved_reduction_v1/readiness_patch_proposal_v1.json,1511,json,c4f867428a28d6ca83b0d869697408ac295bd74df08b912095ccbe630b0e14af,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate0_unresolved_reduction_v1/same_day_audit_report_v1.json,boatrace/research/gate0_unresolved_reduction_v1/same_day_audit_report_v1.json,772,json,a41b2380522210a8b99ce918f027c6a6b6e4ddcec09dcf4b5ad9a74c905b9278,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate0_unresolved_reduction_v1/same_day_candidate_profile_v1.csv,boatrace/research/gate0_unresolved_reduction_v1/same_day_candidate_profile_v1.csv,4850,csv,548aa40284fbc25526ea25a1dfcf58c62d288372117132631058856eefd88eb6,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate0_unresolved_reduction_v1/same_day_policy_patch_proposal_v1.json,boatrace/research/gate0_unresolved_reduction_v1/same_day_policy_patch_proposal_v1.json,766,json,66a68dc1322a5f471872c79f39f556af33a32bf10d3fe04a01081cf3ea7fb764,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate0_unresolved_reduction_v1/subtitle_p0_review_report_v1.json,boatrace/research/gate0_unresolved_reduction_v1/subtitle_p0_review_report_v1.json,749,json,3d18a4dd092af010d380e999201ba5ba1d830a47184ff25a9e462cf4a4a0c9d3,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate0_unresolved_reduction_v1/subtitle_p0_review_v1.csv,boatrace/research/gate0_unresolved_reduction_v1/subtitle_p0_review_v1.csv,31226,csv,4a0fdcf34a9bb6bd0abeaddcedd2f8d12e2d0a5395a2dc6fac238b70cdd6550a,include,public sanitized foundation,sanitized
