race_key,v0_1_main_evaluation_eligible,final_candidate_present,final_strict_complete_member,final_prediction_feature_eligible,final_base_role,migration_status,reason_codes
20230913_23_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230914_03_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230914_05_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230914_07_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230914_10_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230914_16_10,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230914_22_10,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230915_03_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230915_16_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230915_17_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230916_01_04,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230916_01_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230916_02_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230916_05_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230916_05_09,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230916_16_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230916_20_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230916_23_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230917_03_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230917_03_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230917_05_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230917_05_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230917_11_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230917_11_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230917_13_09,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230917_18_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230917_20_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230917_20_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230917_23_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230918_13_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230918_13_10,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230918_17_04,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230918_17_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230918_20_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230919_17_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230920_05_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230920_05_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230920_10_10,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230920_13_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230920_20_04,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230920_22_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230920_24_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230920_24_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230921_05_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230921_12_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230921_13_09,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230921_17_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230921_17_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230921_19_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230921_19_04,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230921_19_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230921_21_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230921_22_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230922_02_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230922_02_10,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230922_21_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230922_21_09,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230922_22_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230923_02_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230923_05_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230923_06_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230923_10_04,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230923_10_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230923_10_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230923_10_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230923_11_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230923_11_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230923_12_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230923_16_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230923_17_09,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230923_22_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230924_03_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230924_06_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230924_07_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
