filename,distribution,version,size_bytes,sha256,source,wheel_only,metadata_requires_dist
pandas-3.0.1-cp312-cp312-win_amd64.whl,pandas,3.0.1,9741627,536232a5fe26dd989bd633e7a0c450705fdc86a207fec7254a55e9a22950fe43,existing-gate2a-wheelhouse,True,"['numpy>=1.26.0; python_version < ""3.14""', 'numpy>=2.3.3; python_version >= ""3.14""', 'python-dateutil>=2.8.2', 'tzdata; sys_platform == ""win32""', 'tzdata; sys_platform == ""emscripten""', 'hypothesis>=6.116.0; extra == ""test""', 'pytest>=8.3.4; extra == ""test""', 'pytest-xdist>=3.6.1; extra == ""test""', 'pyarrow>=13.0.0; extra == ""pyarrow""', 'bottleneck>=1.4.2; extra == ""performance""', 'numba>=0.60.0; extra == ""performance""', 'numexpr>=2.10.2; extra == ""performance""', 'scipy>=1.14.1; extra == ""computation""', 'xarray>=2024.10.0; extra == ""computation""', 'fsspec>=2024.10.0; extra == ""fss""', 's3fs>=2024.10.0; extra == ""aws""', 'gcsfs>=2024.10.0; extra == ""gcp""', 'odfpy>=1.4.1; extra == ""excel""', 'openpyxl>=3.1.5; extra == ""excel""', 'python-calamine>=0.3.0; extra == ""excel""', 'pyxlsb>=1.0.10; extra == ""excel""', 'xlrd>=2.0.1; extra == ""excel""', 'xlsxwriter>=3.2.0; extra == ""excel""', 'pyarrow>=13.0.0; extra == ""parquet""', 'pyarrow>=13.0.0; extra == ""feather""', 'pyiceberg>=0.8.1; extra == ""iceberg""', 'tables>=3.10.1; extra == ""hdf5""', 'pyreadstat>=1.2.8; extra == ""spss""', 'SQLAlchemy>=2.0.36; extra == ""postgresql""', 'psycopg2>=2.9.10; extra == ""postgresql""', 'adbc-driver-postgresql>=1.2.0; extra == ""postgresql""', 'SQLAlchemy>=2.0.36; extra == ""mysql""', 'pymysql>=1.1.1; extra == ""mysql""', 'SQLAlchemy>=2.0.36; extra == ""sql-other""', 'adbc-driver-postgresql>=1.2.0; extra == ""sql-other""', 'adbc-driver-sqlite>=1.2.0; extra == ""sql-other""', 'beautifulsoup4>=4.12.3; extra == ""html""', 'html5lib>=1.1; extra == ""html""', 'lxml>=5.3.0; extra == ""html""', 'lxml>=5.3.0; extra == ""xml""', 'matplotlib>=3.9.3; extra == ""plot""', 'jinja2>=3.1.5; extra == ""output-formatting""', 'tabulate>=0.9.0; extra == ""output-formatting""', 'PyQt5>=5.15.9; extra == ""clipboard""', 'qtpy>=2.4.2; extra == ""clipboard""', 'zstandard>=0.23.0; extra == ""compression""', 'pytz>=2024.2; extra == ""timezone""', 'adbc-driver-postgresql>=1.2.0; extra == ""all""', 'adbc-driver-sqlite>=1.2.0; extra == ""all""', 'beautifulsoup4>=4.12.3; extra == ""all""', 'bottleneck>=1.4.2; extra == ""all""', 'fastparquet>=2024.11.0; extra == ""all""', 'fsspec>=2024.10.0; extra == ""all""', 'gcsfs>=2024.10.0; extra == ""all""', 'html5lib>=1.1; extra == ""all""', 'hypothesis>=6.116.0; extra == ""all""', 'jinja2>=3.1.5; extra == ""all""', 'lxml>=5.3.0; extra == ""all""', 'matplotlib>=3.9.3; extra == ""all""', 'numba>=0.60.0; extra == ""all""', 'numexpr>=2.10.2; extra == ""all""', 'odfpy>=1.4.1; extra == ""all""', 'openpyxl>=3.1.5; extra == ""all""', 'psycopg2>=2.9.10; extra == ""all""', 'pyarrow>=13.0.0; extra == ""all""', 'pyiceberg>=0.8.1; extra == ""all""', 'pymysql>=1.1.1; extra == ""all""', 'PyQt5>=5.15.9; extra == ""all""', 'pyreadstat>=1.2.8; extra == ""all""', 'pytest>=8.3.4; extra == ""all""', 'pytest-xdist>=3.6.1; extra == ""all""', 'python-calamine>=0.3.0; extra == ""all""', 'pytz>=2024.2; extra == ""all""', 'pyxlsb>=1.0.10; extra == ""all""', 'qtpy>=2.4.2; extra == ""all""', 'scipy>=1.14.1; extra == ""all""', 's3fs>=2024.10.0; extra == ""all""', 'SQLAlchemy>=2.0.36; extra == ""all""', 'tables>=3.10.1; extra == ""all""', 'tabulate>=0.9.0; extra == ""all""', 'xarray>=2024.10.0; extra == ""all""', 'xlrd>=2.0.1; extra == ""all""', 'xlsxwriter>=3.2.0; extra == ""all""', 'zstandard>=0.23.0; extra == ""all""']"
pillow-12.3.0-cp312-cp312-win_amd64.whl,pillow,12.3.0,7227137,a2b55dd6b2a4c4b7d87ffa56bdb33fdc5fdb9a462173861a7bc097f17d91cb09,official-pypi,True,"['furo; extra == ""docs""', 'olefile; extra == ""docs""', 'sphinx>=8.2; extra == ""docs""', 'sphinx-autobuild; extra == ""docs""', 'sphinx-copybutton; extra == ""docs""', 'sphinx-inline-tabs; extra == ""docs""', 'sphinxext-opengraph; extra == ""docs""', 'olefile; extra == ""fpx""', 'olefile; extra == ""mic""', 'arro3-compute; extra == ""test-arrow""', 'arro3-core; extra == ""test-arrow""', 'nanoarrow; extra == ""test-arrow""', 'pyarrow; extra == ""test-arrow""', 'coverage>=7.4.2; extra == ""tests""', 'defusedxml; extra == ""tests""', 'markdown2; extra == ""tests""', 'olefile; extra == ""tests""', 'packaging; extra == ""tests""', 'pytest; extra == ""tests""', 'pytest-cov; extra == ""tests""', 'pytest-timeout; extra == ""tests""', 'pytest-xdist; extra == ""tests""', 'setuptools; extra == ""tests""', 'trove-classifiers>=2024.10.12; extra == ""tests""', 'defusedxml; extra == ""xmp""']"
plotly-6.9.0-py3-none-any.whl,plotly,6.9.0,9909646,36bebe2f1bb13884774fe61689c329071446f6ce4a8927fb1f0d6fb24f581236,official-pypi,True,"['narwhals>=1.15.1', 'packaging', ""anywidget; extra == 'dev'"", ""build; extra == 'dev'"", ""colorcet; extra == 'dev'"", ""fiona<=1.9.6; (python_version <= '3.8') and extra == 'dev'"", ""geopandas; extra == 'dev'"", ""inflect; extra == 'dev'"", ""jupyterlab; extra == 'dev'"", ""kaleido>=1.3.0; extra == 'dev'"", ""numpy>=1.22; extra == 'dev'"", ""orjson; extra == 'dev'"", ""pandas; extra == 'dev'"", ""pdfrw; extra == 'dev'"", ""pillow; extra == 'dev'"", ""plotly-geo; extra == 'dev'"", ""polars[timezone]; extra == 'dev'"", ""pyarrow; extra == 'dev'"", ""pyshp; extra == 'dev'"", ""pytest; extra == 'dev'"", ""pytz; extra == 'dev'"", ""requests; extra == 'dev'"", ""ruff==0.11.12; extra == 'dev'"", ""scikit-image; extra == 'dev'"", ""scipy; extra == 'dev'"", ""shapely; extra == 'dev'"", ""statsmodels; extra == 'dev'"", ""vaex; (python_version <= '3.9') and extra == 'dev'"", ""xarray; extra == 'dev'"", ""build; extra == 'dev-build'"", ""jupyterlab; extra == 'dev-build'"", ""pytest; extra == 'dev-build'"", ""requests; extra == 'dev-build'"", ""ruff==0.11.12; extra == 'dev-build'"", ""pytest; extra == 'dev-core'"", ""requests; extra == 'dev-core'"", ""ruff==0.11.12; extra == 'dev-core'"", ""anywidget; extra == 'dev-optional'"", ""build; extra == 'dev-optional'"", ""colorcet; extra == 'dev-optional'"", ""fiona<=1.9.6; (python_version <= '3.8') and extra == 'dev-optional'"", ""geopandas; extra == 'dev-optional'"", ""inflect; extra == 'dev-optional'"", ""jupyterlab; extra == 'dev-optional'"", ""kaleido>=1.3.0; extra == 'dev-optional'"", ""numpy>=1.22; extra == 'dev-optional'"", ""orjson; extra == 'dev-optional'"", ""pandas; extra == 'dev-optional'"", ""pdfrw; extra == 'dev-optional'"", ""pillow; extra == 'dev-optional'"", ""plotly-geo; extra == 'dev-optional'"", ""polars[timezone]; extra == 'dev-optional'"", ""pyarrow; extra == 'dev-optional'"", ""pyshp; extra == 'dev-optional'"", ""pytest; extra == 'dev-optional'"", ""pytz; extra == 'dev-optional'"", ""requests; extra == 'dev-optional'"", ""ruff==0.11.12; extra == 'dev-optional'"", ""scikit-image; extra == 'dev-optional'"", ""scipy; extra == 'dev-optional'"", ""shapely; extra == 'dev-optional'"", ""statsmodels; extra == 'dev-optional'"", ""vaex; (python_version <= '3.9') and extra == 'dev-optional'"", ""xarray; extra == 'dev-optional'"", ""numpy<2,>=1; extra == 'dev-pandas1'"", ""pandas<2,>=1; extra == 'dev-pandas1'"", ""setuptools<82; extra == 'dev-pandas1'"", ""pandas<3,>=2; extra == 'dev-pandas2'"", ""pandas>=3; (python_version >= '3.11') and extra == 'dev-pandas3'"", ""numpy>=1.22; extra == 'express'"", ""kaleido>=1.3.0; extra == 'kaleido'""]"
pyparsing-3.3.2-py3-none-any.whl,pyparsing,3.3.2,122781,850ba148bd908d7e2411587e247a1e4f0327839c40e2e5e6d05a007ecc69911d,official-pypi,True,"['railroad-diagrams ; extra == ""diagrams""', 'jinja2 ; extra == ""diagrams""']"
python_dateutil-2.9.0.post0-py2.py3-none-any.whl,python-dateutil,2.9.0.post0,229892,a8b2bc7bffae282281c8140a97d3aa9c14da0b136dfe83f850eea9a5f7470427,existing-gate2a-wheelhouse,True,['six >=1.5']
scikit_learn-1.9.0-cp312-cp312-win_amd64.whl,scikit-learn,1.9.0,8211173,4306775fad04cc4b472a1b15af1ae9cede1540fbfcc17fbce3767cd8dc7ae283,existing-gate2a-wheelhouse,True,"['numpy>=1.24.1', 'scipy>=1.10.0', 'joblib>=1.4.0', 'narwhals>=2.0.1', 'threadpoolctl>=3.5.0', 'numpy>=1.24.1; extra == ""build""', 'scipy>=1.10.0; extra == ""build""', 'cython>=3.1.2; extra == ""build""', 'meson-python>=0.17.1; extra == ""build""', 'numpy>=1.24.1; extra == ""install""', 'scipy>=1.10.0; extra == ""install""', 'joblib>=1.4.0; extra == ""install""', 'narwhals>=2.0.1; extra == ""install""', 'threadpoolctl>=3.5.0; extra == ""install""', 'matplotlib>=3.6.1; extra == ""benchmark""', 'pandas>=1.5.0; extra == ""benchmark""', 'memory_profiler>=0.57.0; extra == ""benchmark""', 'matplotlib>=3.6.1; extra == ""docs""', 'scikit-image>=0.22.0; extra == ""docs""', 'pandas>=1.5.0; extra == ""docs""', 'rich>=14.1.0; extra == ""docs""', 'seaborn>=0.13.0; extra == ""docs""', 'memory_profiler>=0.57.0; extra == ""docs""', 'sphinx>=7.3.7; extra == ""docs""', 'sphinx-copybutton>=0.5.2; extra == ""docs""', 'sphinx-gallery>=0.17.1; extra == ""docs""', 'numpydoc>=1.2.0; extra == ""docs""', 'Pillow>=12.1.1; extra == ""docs""', 'pooch>=1.8.0; extra == ""docs""', 'sphinx-prompt>=1.4.0; extra == ""docs""', 'sphinxext-opengraph>=0.9.1; extra == ""docs""', 'plotly>=5.22.0; extra == ""docs""', 'polars>=0.20.30; extra == ""docs""', 'sphinx-design>=0.6.0; extra == ""docs""', 'sphinxcontrib-sass>=0.3.4; extra == ""docs""', 'pydata-sphinx-theme>=0.15.3; extra == ""docs""', 'sphinx-remove-toctrees>=1.0.0.post1; extra == ""docs""', 'towncrier>=24.8.0; extra == ""docs""', 'matplotlib>=3.6.1; extra == ""examples""', 'scikit-image>=0.22.0; extra == ""examples""', 'pandas>=1.5.0; extra == ""examples""', 'rich>=14.1.0; extra == ""examples""', 'seaborn>=0.13.0; extra == ""examples""', 'pooch>=1.8.0; extra == ""examples""', 'plotly>=5.22.0; extra == ""examples""', 'matplotlib>=3.6.1; extra == ""tests""', 'pandas>=1.5.0; extra == ""tests""', 'rich>=14.1.0; extra == ""tests""', 'pytest>=7.1.2; extra == ""tests""', 'pytest-cov>=2.9.0; extra == ""tests""', 'ruff>=0.12.2; extra == ""tests""', 'mypy>=1.15; extra == ""tests""', 'pyamg>=5.0.0; extra == ""tests""', 'polars>=0.20.30; extra == ""tests""', 'pyarrow>=13.0.0; extra == ""tests""', 'numpydoc>=1.2.0; extra == ""tests""', 'pooch>=1.8.0; extra == ""tests""', 'conda-lock==3.0.1; extra == ""maintenance""']"
scipy-1.18.0-cp312-cp312-win_amd64.whl,scipy,1.18.0,36597428,71ccc8faa2dd16ac310233203474a8b5cb67f10dedd54a3116d34943f4b19132,existing-gate2a-wheelhouse,True,"['numpy<2.8,>=2.0.0', 'pytest>=8.0.0; extra == ""test""', 'pytest-cov; extra == ""test""', 'pytest-timeout; extra == ""test""', 'pytest-xdist; extra == ""test""', 'asv; extra == ""test""', 'mpmath; extra == ""test""', 'gmpy2; extra == ""test""', 'threadpoolctl; extra == ""test""', 'scikit-umfpack; extra == ""test""', 'pooch; extra == ""test""', 'hypothesis>=6.30; extra == ""test""', 'array-api-strict>=2.3.1; extra == ""test""', 'Cython; extra == ""test""', 'meson; extra == ""test""', 'ninja; sys_platform != ""emscripten"" and extra == ""test""', 'scipy-doctest>=2.0.0; extra == ""test""', 'sphinx<8.2.0,>=5.0.0; extra == ""doc""', 'intersphinx_registry; extra == ""doc""', 'pydata-sphinx-theme>=0.15.2; extra == ""doc""', 'sphinx-copybutton; extra == ""doc""', 'sphinx-design>=0.4.0; extra == ""doc""', 'matplotlib>=3.5; extra == ""doc""', 'numpydoc; extra == ""doc""', 'jupytext; extra == ""doc""', 'myst-nb>=1.2.0; extra == ""doc""', 'pooch; extra == ""doc""', 'jupyterlite-sphinx>=0.19.1; extra == ""doc""', 'jupyterlite-pyodide-kernel; extra == ""doc""', 'linkify-it-py; extra == ""doc""', 'tabulate; extra == ""doc""', 'click<8.3.0; extra == ""dev""', 'spin; extra == ""dev""', 'mypy==1.19.1; extra == ""dev""', 'pyrefly==0.63.0; extra == ""dev""', 'typing_extensions; extra == ""dev""', 'types-psutil; extra == ""dev""', 'pycodestyle; extra == ""dev""', 'ruff>=0.12.0; extra == ""dev""', 'cython-lint>=0.12.2; extra == ""dev""']"
six-1.17.0-py2.py3-none-any.whl,six,1.17.0,11050,4721f391ed90541fddacab5acf947aa0d3dc7d27b2e1e8eda2be8970586c3274,existing-gate2a-wheelhouse,True,[]
threadpoolctl-3.6.0-py3-none-any.whl,threadpoolctl,3.6.0,18638,43a0b8fd5a2928500110039e43a5eed8480b918967083ea48dc3ab9f13c4a7fb,existing-gate2a-wheelhouse,True,[]
tzdata-2026.3-py2.py3-none-any.whl,tzdata,2026.3,348168,dc096730c87af6cab1b171c9d532be840741ff5d459015e7f6947bd7d7e54931,existing-gate2a-wheelhouse,True,[]
