status,eligible_for_model_training,purpose,hypothesis_id,json_row_present,csv_row_present,json_csv_match,formal_registry_id_collision,formal_registry_sha256_before,status_valid,eligible_for_model_training_valid,primary_metric_contract_valid,local_reconciliation_status
provisional,false,hypothesis_addendum_sidecar_review_only,H079,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H080,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H081,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H082,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H083,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H084,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H085,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H086,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H087,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H088,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H089,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H090,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H091,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H092,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H093,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H094,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H095,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H096,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H097,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H098,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
