fold_id,family_id,bin_index,edge,fit_role,transform_roles,missing_bin
screening_fold_3,FF03,8,53.55333333333334,train,selection|calibration|evaluation,False
screening_fold_3,FF03,9,55.22050000000001,train,selection|calibration|evaluation,False
screening_fold_3,FF04,0,,train,selection|calibration|evaluation,True
screening_fold_3,FF04,1,6.6933333333333325,train,selection|calibration|evaluation,False
screening_fold_3,FF04,2,6.726666666666667,train,selection|calibration|evaluation,False
screening_fold_3,FF04,3,6.753333333333333,train,selection|calibration|evaluation,False
screening_fold_3,FF04,4,6.778333333333332,train,selection|calibration|evaluation,False
screening_fold_3,FF04,5,6.803333333333332,train,selection|calibration|evaluation,False
screening_fold_3,FF04,6,6.829999999999999,train,selection|calibration|evaluation,False
screening_fold_3,FF04,7,6.859999999999999,train,selection|calibration|evaluation,False
screening_fold_3,FF04,8,6.8983333333333325,train,selection|calibration|evaluation,False
screening_fold_3,FF04,9,6.951666666666668,train,selection|calibration|evaluation,False
screening_fold_3,FF05,0,,train,selection|calibration|evaluation,True
screening_fold_3,FF05,1,1.0,train,selection|calibration|evaluation,False
screening_fold_3,FF05,2,2.0,train,selection|calibration|evaluation,False
screening_fold_3,FF05,3,3.0,train,selection|calibration|evaluation,False
screening_fold_3,FF05,4,5.0,train,selection|calibration|evaluation,False
screening_fold_3,FF06,0,,train,selection|calibration|evaluation,True
screening_fold_3,FF06,1,0.3646093215553031,train,selection|calibration|evaluation,False
screening_fold_3,FF06,2,0.41069904525706535,train,selection|calibration|evaluation,False
screening_fold_3,FF06,3,0.4423930521344356,train,selection|calibration|evaluation,False
screening_fold_3,FF06,4,0.46979170922197144,train,selection|calibration|evaluation,False
screening_fold_3,FF06,5,0.4953783028848062,train,selection|calibration|evaluation,False
screening_fold_3,FF06,6,0.5219978824192619,train,selection|calibration|evaluation,False
screening_fold_3,FF06,7,0.5507110883321074,train,selection|calibration|evaluation,False
screening_fold_3,FF06,8,0.5870196733418749,train,selection|calibration|evaluation,False
screening_fold_3,FF06,9,0.6381079218132316,train,selection|calibration|evaluation,False
screening_fold_3,FF07,0,,train,selection|calibration|evaluation,True
screening_fold_3,FF07,1,0.0,train,selection|calibration|evaluation,False
screening_fold_3,FF08,0,,train,selection|calibration|evaluation,True
screening_fold_3,FF08,1,1.0,train,selection|calibration|evaluation,False
screening_fold_4,FF01,0,,train,selection|calibration|evaluation,True
screening_fold_4,FF01,1,4.0,train,selection|calibration|evaluation,False
screening_fold_4,FF01,2,5.0,train,selection|calibration|evaluation,False
