family_id,family_name,fold_id,bin_index,race_count,pooled_b3_calibrated_ll,winner_stage_ll,second_stage_ll,third_stage_ll,rank_mean,Hit@1,Hit@5,catastrophic_rate,abnormal_tail_rate,B3_B2_delta,support_gate
FF03,equipment_official_snapshot,screening_fold_4,3,367,4.1467718258456685,1.3338391785287553,1.4410141754376007,1.371918471879313,26.182561307901906,0.04904632152588556,0.25340599455040874,0.0027247956403269754,0.0,-0.01781184818495048,eligible_support>=250
FF03,equipment_official_snapshot,screening_fold_4,4,363,4.191230135772488,1.3704709038716578,1.4595659543070378,1.3611932775937925,28.00275482093664,0.0743801652892562,0.256198347107438,0.005509641873278237,0.0,-0.04490512287355779,eligible_support>=250
FF03,equipment_official_snapshot,screening_fold_4,5,362,4.070100701100184,1.2945686858751502,1.4388486043879984,1.3366834108370356,24.022099447513813,0.09116022099447514,0.27624309392265195,0.0055248618784530384,0.0,-0.028804879645082576,eligible_support>=250
FF03,equipment_official_snapshot,screening_fold_4,6,301,4.181143611414871,1.3291477157750917,1.510313296064488,1.341682599575292,27.099667774086377,0.07641196013289037,0.2425249169435216,0.006644518272425249,0.0,-0.018577299060969533,eligible_support>=250
FF03,equipment_official_snapshot,screening_fold_4,7,376,4.131151938499416,1.2791403827469,1.49083218672278,1.3611793690297365,25.06382978723404,0.05053191489361702,0.2393617021276596,0.005319148936170213,0.0,-0.012473793003229502,eligible_support>=250
FF03,equipment_official_snapshot,screening_fold_4,8,355,4.124713255351717,1.2389218902247945,1.5044207909262142,1.3813705742007087,24.450704225352112,0.061971830985915494,0.2507042253521127,0.0028169014084507044,0.0,0.01187159109854141,eligible_support>=250
FF03,equipment_official_snapshot,screening_fold_4,9,304,4.144825118915859,1.3430597300355493,1.4605977337200409,1.3411676551602698,26.039473684210527,0.05263157894736842,0.26973684210526316,0.003289473684210526,0.0,-0.02557187765526662,eligible_support>=250
FF03,equipment_official_snapshot,screening_fold_4,10,304,4.1901738989334305,1.3178671236012347,1.5179425987654949,1.3543641765667003,27.213815789473685,0.07236842105263158,0.24671052631578946,0.01644736842105263,0.0,-0.03738968359040354,eligible_support>=250
FF04,exhibition_current_state,screening_fold_1,0,0,,,,,,,,,,,eligible_support>=250
FF04,exhibition_current_state,screening_fold_1,1,1672,4.26443986588606,1.4161831752842582,1.4873135155127637,1.360943175089038,29.010167464114833,0.06220095693779904,0.23205741626794257,0.007177033492822967,0.0,-0.010863416055355757,eligible_support>=250
FF04,exhibition_current_state,screening_fold_1,2,1477,4.217069412699278,1.393642695707134,1.4735530984216032,1.3498736185705411,28.357481381178065,0.06635071090047394,0.24441435341909276,0.006093432633716994,0.0,-0.03248478044081118,eligible_support>=250
FF04,exhibition_current_state,screening_fold_1,3,1504,4.157965194233542,1.3269567649615093,1.4798436294870163,1.3511647997850165,26.506648936170212,0.06981382978723404,0.24601063829787234,0.0019946808510638296,0.0,-0.034456536592694695,eligible_support>=250
FF04,exhibition_current_state,screening_fold_1,4,1308,4.191410534510083,1.3690855954177275,1.469277386922249,1.353047552170106,26.849388379204893,0.07110091743119266,0.25076452599388377,0.006880733944954129,0.0,-0.018603794609172664,eligible_support>=250
FF04,exhibition_current_state,screening_fold_1,5,1241,4.178179560808316,1.3314950866292554,1.4882891017274207,1.3583953724516404,26.65753424657534,0.0757453666398066,0.2594681708299758,0.004834810636583401,0.0,-0.023562940151463607,eligible_support>=250
FF04,exhibition_current_state,screening_fold_1,6,1098,4.119845199199258,1.3068053347219577,1.475738217896646,1.337301646580654,25.756830601092897,0.06830601092896176,0.29326047358834245,0.006375227686703097,0.0,-0.02818091727245589,eligible_support>=250
FF04,exhibition_current_state,screening_fold_1,7,1056,4.0576961916540455,1.2621831275986197,1.444144372595953,1.351368691459472,23.716856060606062,0.06912878787878787,0.30303030303030304,0.004734848484848485,0.0,-0.02060648251223382,eligible_support>=250
FF04,exhibition_current_state,screening_fold_1,8,1143,4.067874885730775,1.3016948941457953,1.4139056722220418,1.3522743193629378,23.985126859142607,0.0752405949256343,0.28258967629046366,0.005249343832020997,0.0,-0.0408997812827642,eligible_support>=250
FF04,exhibition_current_state,screening_fold_1,9,1368,4.097007100331755,1.2933266748782541,1.4464873789400856,1.3571930465134152,24.85014619883041,0.06944444444444445,0.2711988304093567,0.005847953216374269,0.0,-0.026985209371331077,eligible_support>=250
FF04,exhibition_current_state,screening_fold_1,10,955,4.151374386067108,1.3733416194106514,1.428809283420671,1.3492234832357854,25.81151832460733,0.0712041884816754,0.2628272251308901,0.009424083769633508,0.0,-0.018203058183758,eligible_support>=250
FF04,exhibition_current_state,screening_fold_2,0,0,,,,,,,,,,,eligible_support>=250
FF04,exhibition_current_state,screening_fold_2,1,1176,4.245859571192433,1.3914690112739974,1.501159085294255,1.3532314746241803,28.928571428571427,0.061224489795918366,0.2389455782312925,0.008503401360544218,0.0,-0.04233909263004733,eligible_support>=250
FF04,exhibition_current_state,screening_fold_2,2,1213,4.1874090938941935,1.349733836510598,1.4854702652793346,1.352204992104261,27.297609233305852,0.06595218466611706,0.2679307502061006,0.011541632316570486,0.0,-0.019705266302234726,eligible_support>=250
FF04,exhibition_current_state,screening_fold_2,3,1237,4.15914783914223,1.332313287782798,1.4812743099577237,1.345560241401708,26.383185125303154,0.06548100242522231,0.2570735650767987,0.007275666936135812,0.0,-0.02481003178400822,eligible_support>=250
FF04,exhibition_current_state,screening_fold_2,4,1147,4.153288340305754,1.3348911276851878,1.4647046520723246,1.3536925605482417,26.999128160418483,0.07497820401046207,0.27898866608544026,0.008718395815170008,0.0,-0.018139020041247438,eligible_support>=250
FF04,exhibition_current_state,screening_fold_2,5,1167,4.186937745117946,1.3547368061558303,1.4833644218519733,1.3488365171101426,27.353898886032564,0.06855184233076264,0.2536418166238218,0.000856898029134533,0.0,-0.02655014750458475,eligible_support>=250
FF04,exhibition_current_state,screening_fold_2,6,1149,4.143754663405871,1.3075802473138147,1.4794961068340873,1.3566783092579697,26.398607484769364,0.06179286335944299,0.26109660574412535,0.004351610095735422,0.0,-0.02174356545044107,eligible_support>=250
