status,eligible_for_model_training,purpose,raw_subtitle,raw_value_is_null,race_count,cumulative_race_coverage,mapped_stage,mapping_method,confidence,manual_review_priority,current_review_status,mapping_version
provisional,false,policy_execution_validation,ウインビー選抜,false,18,0.989178012298934,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,シリーズ進出戦,false,18,0.989298853352668,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,シリーズ選抜,false,18,0.989419694406402,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,トライアル,false,18,0.989540535460136,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,トライアル2,false,18,0.989661376513870,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選☆,false,18,0.989782217567604,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,新春選抜戦,false,18,0.989903058621338,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,特別選抜A,false,18,0.990023899675072,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,特別選抜B,false,18,0.990144740728806,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ほぼ女子一般,false,17,0.990258868390666,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選トコタン賞,false,17,0.990372996052526,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,GW特選,false,16,0.990480410322511,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,トーナメント,false,16,0.990587824592497,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選(女子),false,16,0.990695238862483,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選(男子),false,16,0.990802653132469,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選A組男子,false,16,0.990910067402454,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,予選B組女子,false,16,0.991017481672440,qualifying,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ツッピー選抜戦,false,15,0.991118182550552,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,新春特選,false,15,0.991218883428663,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,順位決定戦,false,15,0.991319584306775,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,S戦一般戦,false,14,0.991413571793013,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,特別選抜戦A組,false,14,0.991507559279250,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,特別選抜戦B組,false,14,0.991601546765488,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,サンスポDR,false,13,0.991688820859851,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,一般戦☆,false,13,0.991776094954215,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,団体・一般戦,false,13,0.991863369048578,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,推しトク一般,false,13,0.991950643142942,general,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,トライアル1,false,12,0.992031203845431,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,準々決勝戦,false,12,0.992111764547920,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,やまだ屋特選,false,11,0.992185611858535,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,宮島ドリーム,false,11,0.992259459169151,dream,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,モミジ特選,false,10,0.992326593087892,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,こじま選抜,false,9,0.992387013614759,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ウインク選抜,false,9,0.992447434141626,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,サンスポ特選,false,9,0.992507854668493,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,ニッカン特選,false,9,0.992568275195360,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,九スポ特選,false,9,0.992628695722227,special,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,東京ベイ選抜,false,9,0.992689116249094,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,準王将位戦,false,9,0.992749536775961,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,発祥地ドリーム,false,9,0.992809957302828,dream,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,発祥地選抜戦,false,9,0.992870377829695,selection,automatic_rule_v1,medium,P2,auto_rule_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,W準優戦前半,false,8,0.992924084964688,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,W準優戦後半,false,8,0.992977792099680,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,スポニチDR,false,8,0.993031499234673,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
provisional,false,policy_execution_validation,セミファイナル,false,8,0.993085206369666,unknown,unknown_fallback_v1,low,P1,unknown_unreviewed,race_stage_taxonomy_v1
